Ticker,Perf Inst,True or False
AMZN,4.18%,True
NVDA,5.39%,True
META,5.84%,True
LLY,6.38%,True
AVGO,12.83%,True
COST,4.99%,True
CRM,10.08%,True
AMD,12.97%,True
NFLX,8.27%,True
INTU,6.55%,True
QCOM,8.42%,True
IBM,5.77%,True
GE,7.63%,True
CAT,4.01%,True
AMAT,6.81%,True
NOW,9.17%,True
AXP,6.38%,True
BX,5.88%,True
ISRG,4.45%,True
LRCX,9.41%,True
PANW,9.05%,True
PGR,10.71%,True
BSX,5.97%,True
KLAC,6.27%,True
APO,8.63%,True
KKR,11.67%,True
ANET,14.17%,True
CDNS,11.11%,True
WDAY,10.12%,True
CRWD,18.01%,True
